ticker,until,reason
1364.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率10.0、2025-04-03)を検出。日次fetchの取得窓(history_days=400本)の外にstore側の未調整バーが残っている可能性。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
3477.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率0.5、2017-12-04)を検出。2017年のためstoreの取得窓(history_full_days=2600本)の外にあり全履歴再取得では直らない見込み。頑健性窓の対象期間内でもあり除外を維持(恒久)。"
4316.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率2.0、2026-04-03)を検出。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
5103.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率3.0、2026-08-21)を検出。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
6731.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率0.5、2023-08-18〜12-04)を検出。分割ではなく実際の株価下落の可能性が高いが機械的規則により除外。全履歴再取得後のcheck_splits再実行で解除可否を判定。"
6834.T,2099-12-31,"分割(2025-01-09付近)に対し、日次fetchの取得窓(history_days=400本)の外にstore側の未調整バーが残っている(9900.Tと同型の問題、check_splits_full_history.py 2026-08-28実測で検出)。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
7649.T,2099-12-31,"分割(2025-01-09付近)に対し、日次fetchの取得窓(history_days=400本)の外にstore側の未調整バーが残っている(9900.Tと同型の問題、check_splits_full_history.py 2026-08-28実測で検出)。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
7877.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率0.2、2017-10-31)を検出。2017年のためstoreの取得窓(history_full_days=2600本)の外にあり全履歴再取得では直らない見込み。頑健性窓の対象期間内でもあり除外を維持(恒久)。"
7983.T,2099-12-31,"check_splits_full_history.py(2026-08-28実測)でSplitsイベント記録なしの段差(比率0.2、2017-10-31)を検出。7877.Tと同日・同比率でデータソース側の不具合の可能性が高い。2017年のためstoreの取得窓(history_full_days=2600本)の外にあり全履歴再取得では直らない見込み。頑健性窓の対象期間内でもあり除外を維持(恒久)。"
9900.T,2099-12-31,"分割(基準日2026-08-30・権利落ち日2026-08-27・1株→2株)に対し、日次fetchの取得窓(history_days=400本)の外にstore側の未調整バー(2025-01-08前後)が残っている(check_splits_full_history.py 2026-08-28実測で検出、170行中41行で再計算不一致)。全履歴再取得(チャンク7完了後に実施予定)で段差が消えれば解除。"
